"","batch","cell_type","individual_id","sex","age","Residuals"
"7906486",0,0.874065355796007,0.00725443196990341,1.28589080928572e-14,0.000144346395489096,0.118535865838587
"7906496",4.5510404135311e-12,0.112761874705829,0.109392443772971,3.07805115908676e-11,8.84802426096937e-05,0.777757201243259
"7906501",0,0.464185825177127,0.0424950229929289,7.11667377656695e-11,0.00247249826205723,0.49084665349672
"7906527",0,0.608280001112642,0.0376062806613342,1.992550807669e-12,8.35398868120852e-05,0.354030178337219
"7906552",0,0.290714559227574,0.034134839020349,3.93502971879824e-13,0.00338912616667123,0.671761475585012
"7906564",1.16080215904063e-14,0.968041852163412,0.00410304218552888,1.00488840649873e-13,0.000576296896401452,0.0272788087545459
"7906574",0,0.618600955204803,0.00730059187162923,1.70428328129118e-12,0.000118655810378101,0.373979797111486
"7906576",0,0.95916868353623,0.00766935891814998,4.09562280770753e-16,0.000199622519271189,0.0329623350263484
"7906597",0,0.663107541188158,0.0259968656913254,5.98688659149539e-12,0.000122189230257035,0.310773403884272
"7906602",0,0.661334368835523,0.038622061729528,1.01340967150435e-12,0.000227320869422673,0.299816248564513
"7906613",0,0.790729557079677,0.0188535602962852,5.71668601212566e-11,0.0031533010102124,0.187263581556659
"7906622",0,0.978978970567165,0,5.19245474427555e-13,0.000144656381675046,0.0208763730506405
"7906642",0,0.463031773042484,0.00796309368583292,6.19732197081172e-13,0.000238034340564714,0.528767098930499
"7906652",0,0.828806174345556,0.026498587568698,2.89979247058936e-14,0.000436931157701574,0.144258306928016
"7906662",0,0.411198027520941,0.130158087820087,2.02242473088235e-13,0.00177829648517294,0.456865588173597
"7906671",3.94542836194566e-11,0.138976468128374,0.193795830643983,2.75547054335701e-11,0.000567220070016983,0.666660481090616
"7906688",0,0.207949930281731,0.133013373268148,2.99323203096594e-13,0.000932980295630978,0.658103716154191
"7906703",0,0.812430524737972,0.0291208696086992,5.69839821482402e-14,0.000165087219238106,0.158283518434034
"7906720",0,0.974921806263502,0.000158805800208487,1.45328850262361e-12,0.000310366084189094,0.0246090218506469
"7906728",0,0.843694823594988,0.00550208854954297,0,0.000737746898233397,0.150065340957235
"7906742",0,0.260033865304345,0.0490976957182433,8.96252381799017e-12,9.98100979074565e-05,0.690768628870542
"7906746",2.53532495618205e-12,0.0567151812227321,0.149633495646533,2.86806401876059e-11,0.00515933082671469,0.788491992272804
"7906757",0,0.989271976567473,3.97369554782871e-05,3.9866225050828e-11,1.21835549210024e-06,0.0106870680816905
