"","batch","individual_id","sex","age","Residuals"
"7974835",1.65818878872226e-13,0.153645093569709,3.76886133585613e-11,0.0118424620284751,0.834512444363962
"7974851",0,0.0821844224721797,2.71396232814192e-11,0.00242499831047361,0.915390579190207
"7974870",0,0.139647104249546,0,0.0121911575938024,0.848161738156652
"7974882",0,0.121044296642814,0,2.42264446087417e-06,0.878953280712725
"7974895",1.26154974456137e-11,0.392460296771749,0,0.000562540230686047,0.60697716298495
"7974900",0,0.0689842079574137,0.00240423574838168,0.000110553832347461,0.928501002461857
"7974902",1.4090491962117e-10,0.04730357822356,1.24327076089344e-11,0.00958194091684994,0.943114480706252
"7974920",7.59613318990228e-12,0.0217429046316355,0,0.00121294173153211,0.977044153629236
"7975045",2.56224257890469e-11,0.0815524682054912,0.00122269834597912,0.0384831769902939,0.878741656432613
"7975066",0,4.77599340043189e-12,0.00329078637889542,0.00294128700783894,0.99376792660849
"7975068",5.13009698545047e-19,0.110595879975715,0,0.0140992915205767,0.875304828503709
"7975076",4.54975100369056e-13,0.368927025792713,0,0.00012243004361822,0.630950544163214
"7975081",4.92062795803268e-12,0.0754907718076541,0.000552800735252377,0.000750897472519381,0.923205529979653
"7975095",0,0.349595132960942,0,0.00140788196233082,0.648996985076727
"7975113",0,0.290906187836545,8.91259172958951e-11,0.0108550419961351,0.698238770078194
"7975121",7.15593402696917e-11,0.118096255320631,7.03490264649576e-10,0.00520190559668053,0.876701838307639
"7975136",0,0.318539800320041,0,0.00162539297126557,0.679834806708694
"7975154",0,0.167146700479928,0,0.00030391681433123,0.832549382705741
"7975167",0,0.164129920317846,8.93187610105554e-12,0.000969854189162914,0.834900225484059
"7975191",0,0,0,0.000772289318646347,0.999227710681354
"7975203",0,2.54487448233896e-10,0.000275847445989412,0.00427522006915248,0.995448932230371
"7975224",0,0.0199355975219339,3.95969259187738e-15,0.0206721694899966,0.959392232988065
"7975238",0,0.292713047783245,1.40602336725237e-16,0.000792052930064901,0.70649489928669
"7975268",0,0.15171883923231,0.000628713191375354,0.000194042288281031,0.847458405288033
"7975284",0,0,0,0.00159368687005803,0.998406313129942
"7975292",0,0.0012650728263092,0,0.0268472023741532,0.971887724799538
"7975311",0,0.162577753974094,2.43447988747276e-13,0.00802434745270473,0.829397898572958
"7975324",0,2.09667272804932e-17,7.11178340940659e-16,0.00458264656618221,0.995417353433817
"7975344",0,0,0,0.0134622204762989,0.986537779523701
"7975354",0,0,0,0.00159563618600968,0.99840436381399
"7975361",0,0.124004172521226,0.00384425017058215,0.0206880564268913,0.8514635208813
"7975368",9.12317818313259e-14,0.0358919950916162,0,0.00305140352429412,0.961056601383999
